App Bundle Id,Description,Category
510493473,"Play Fruit Pop, the original free ""Match 3"" fruit slicing game, with over 10,000,000 downloads worldwide! Connect colorful, animated fruits and make them explode to score as many points as you can before time runs out. Go fast enough and you will enter Frenzy Mode for super high scores and exciting action!What players have to say:  •  “The perfect blend of simplicity and challenge. Endlessly entertaining!”   • “A total blast to play. You won’t be able to put this game down!”   • “Easy, fun, and perfect for downtime.” Download Fruit Pop to:  • Compete with your friends in the weekly tournament  • See fruit explode in colorful 3D  • Complete fruit popping missions for extra coins  • Unlock fun and helpful boostsJuicy Fruit Pop tips:   • Slice fruit chains quickly to enter FRENZY mode!   • Bombs are powerful, but can distract your attention.   • Rainbow fruit is most difficult to master, but can create HUGE chains.Now get popping!",Games
com.spice.hangman," Presenting world's favorite classic game ""HANGMAN""!!! More than 40 Million Downloads and counting!What is HangmanThe Pre Android and IOS era people grew up playing Hangman! We bring to you the digital avatar of everybody’s favorite clue based pen and paper word guessing game! Now you can enjoy Hangman free of cost, with attractive graphics, interactive user interfaces and loads of fresh content!How to Play HangmanSave the good old Hangman by correctly guessing the answer on the basis of the given hint or clue. Each incorrect attempt costs you a chance. You lose when you run out of chances. So put on your thinking cap and get cracking! It’s not a simple word game; you hold a life in your hands, Mate :)!So what is so special about our Hangman word game?! Read on to find out…Tons of Categories – Pick your favorite themes and start playing! Themes are specially designed keeping in mind the taste of Android application users of every age & group.•	Hollywood•	Fashion•	Television or T.V. theme•	Food•	Books & Authors•	Famous Personalities•	Places •	Music•	Kids•	Baseball, Basketball, NFL, Golf or Tennis! Enjoy a mix of all these in the Sports theme.•	Just Fun•	Easy•	Medium •	Hard•	So you think you can teach Shakespeare a thing or two about vocab. SAT, TOEFL, GRE, GMAT, or regular word buff, test your vocabulary in classic Dictionary theme.•	This in not all! Special word puzzles packs on major festivals and events like Christmas, Easter, Halloween, Thanksgiving, Women’s Day, etc.Region Specific Word GameWith us, it’s always app users first. We make special region specific packs keeping in mind the tastes and preferences of the gamers from a particular region. Special country specific packs for•	India•	U.S.A.•	Philippines•	Spain•	U.K.And many other regions!Daily Packs / Daily ModeThe cherry on the cake is that you get fresh word puzzle set everyday!! You’ll never want to stop playing this absolutely free game!Graphics & ScoringEnjoy gorgeous graphics that give the users the most awesome gaming experience! The scoring system keeps the competition on, and keeps gamers addicted and coming back for more!Engaging ContentFor word puzzle junkies there is a treat of almost 10,000 words! Plus there are regular word additions and updating of old hints or clues. Take up the Challenge“Challenge puzzles” are a major feature of the Hangman free. New challenges cater to the adrenaline junkie, who seeks out adversity and wants to beat it in the shortest possible time. And if you happen to like things easy, you can always play the old way and take your own time.Play Hangman & Get RewardsNot only is Hangman free but , now you can collect Lootsie points  (SessionM’s , Mpoints have been replaced by Lootsie Points)and cash it on gift cards, enter contests and win big prizes or donate your points for a noble cause.Bonus, Bonus! : Facebook ModeAn amazing feature of this classic Hangman game! You can sync this Android application with your Facebook page and play word puzzles based on your friends!If you haven’t already downloaded this wonderful application then don’t lose a second more and get it right now!!  ",Word
com.jurassiccraft, JurassicCraft  ,Arcade
com.indigokids.mashakasha," Here are “Masha and the Bear: Cooking Dash”! Masha opens her diner dash and welcomes children to try these games for kids and their cooking food abilities! 😋The Bear, Rosie, Panda, the wolves, and other animals in the forest are hungry! 🍲🍴 Who will feed poor animals in this food making games? Masha and Bear of course! With the help of kids this restless little girl will be cooking food for every character from the popular cartoon “Masha and the Bear” in this food games! But each animal wants different ingredients. Find them all in this cooking dash and make the best oatmeal ever!Game for kids features: 🤗 - 16 characters in this children games free from Masha and the Bear games- cooking dash games with 33 ingredients to add into oatmeal- talking Masha in this cooking games for girls- the recipes become more difficult with levels in this cooking games for kids free😋 Are you ready to make oatmeal with bananas in diner games? Or with ham? In this cooking dash games Masha and the Bear will teach toddlers how to make oatmeal with anything in this cafe games free! Every animal in the forest will come to Masha's cafe games and order a dish. In cooking games for girls this can happen twice a day!With every new visitor in your cafe kitchen the oatmeal recipes will become more interesting and complicated. Cook all orders in this cooking games free!This Masha and the Bear cook games are suitable for kids from 2 to 8, it has the initial interface so that even toddlers can play without parents. If your kids love children games free about cooking dash or diner games, “Masha and the Bear: Cooking Dash” is the best choice for them! With Masha and Bear plus other animals kids will train their intelligence, logic and attention! And will learn how to cook dinner! 😋Children games for boys and girls free are not always interesting and new. But Masha cooking chef will make this cooking dash a complete fun! This is the first food games with Masha and the Bear. If you are looking for cooking games for kids free where kids cook this is a good choice!Give your kids games free that are not only funny but are also educational games for kids! Toddler games free do not always suit these parameters but this cook game for kids really do!➡ Find more educational games for kids with Masha and the Bear on our developer's page on Google Play: https://play.google.com/store/apps/dev?id=5356075630341900630 «Masha and the Bear: Kids Games free» «Masha and the Bear: Hospital Games» «Masha Cooking dash and dinner»and more toddler games for free! 🤗❗Contact us if you have any suggestions or troubles! E-mail: support@indigokidsgames.com  ",Role Playing
com.bestcoolfungames.antsmasher," 🐜🐜🐜🐜🐜🐜 100 MILLION DOWNLOADS 🐜🐜🐜🐜🐜🐜Smash ants with your finger in this great game!Ant Smasher is more social now - you can smash your friends' pictures!!!Highly entertaining for kids, boys and girls. Special virtual goods that make the game easier for young players can be acquired! It's so addicting! Experience this killer bug invasion!Features:🐜 Several Ants to Smash🐜 Dangerous Bee - Don't Touch the Bee!🐜 Global high-score rankings🐜 Different Addictive Game Modes🐜 Game for all ages, man and woman!🐜 A funny app to pass the time.All... for FREE!Ant Smasher is brought to you by BCFG.Stay tuned for our other games and visit us at:http://antsmasher.comDownload Ant Smasher while it's FREE!Note: Location/Bluetooth-data may be used for providing you more relevant ads🐜🐜🐜🐜🐜  ",Arcade
com.hugsnhearts.android_princebeardsalon," Princes just don't have the fashion sense of gorgeous princesses like you. Boys need help to make sure their clothes match, their hair is styled, and their faces are shaved for big kingdom events. Tonight is a big ball and this handsome Prince asked you to be his date! Help him get ready so you have the most handsome date in the land. Take him to your spa to clean him up, shave his face, give him a cool hairstyle, and dress him up. Tonight could by the fairytale romance you've been waiting for, so make sure your story starts off with a bang! Product Features:Cool salon game with Prince themed story.Easy to use controls for girls of all ages.Tons of cool outfits to dress up your Prince!Choose from cool hairstyles to make him handsome for the ball.Use salon tools to clean him up and shave his fuzzy beard.Make sure he is worthy of you, Princess, for your storybook fairytale ending!How to Play:Use interactive controls to play the game.Take your princess fashion sense to help your prince shave, pick a cool hairstyle, and dress up for the ball.Go on your fun date and start your love story toward its fairytale ending!Wanna have more fun? We would love to hear from you!Find us on Facebook at https://www.facebook.com/hugsNheartsGamesOr on Twitter at https://twitter.com/Hug_n_HeartsFor more information about Hugs N Hearts, please visit http://www.hugsnhearts.com/For more information about Prince Charming's Beard Salon, please visit http://www.hugsnhearts.com/prince-charmings-beard-salon  ",Educational
com.glu.mi5," Your mission, should you choose to accept it…Infiltrate secure locations and eliminate high-profile targets, perform lethal strikes and confront the Syndicate across the globe.This message will self-destruct…  TRACK THE SYNDICATE ACROSS THE GLOBETake out enemy agents, destroy rogue bases, eliminate the single high-profile target that matters most or silently/stealthily complete the objective in locations around the globe!  COMPLETE IMPOSSIBLE MISSIONSComplete the mission objectives as you stop the Syndicate and assist the IMF.  Stake out targets from long range, take them down with well-placed shots, assault enemy bases head-on or infiltrate enemy lines without compromising your identityEQUIP ADVANCED WEAPONRY & GEARLoad up on weapons like sniper rifles, assault rifles, heavy guns and gauss rifles then upgrade them.  Don’t forget to grab the latest gear as well like rocket launchers, throwing knives, med kits, armor, and more!DESTROY ENEMY BASES AND DEFEND YOURSAssault other players’ HQ, steal their resources, and defend your IMF HQ against attack!  Fortify your defenses with upgrades like drones to repel even the most stubborn attackers.JOIN AND FORM AGENCIESForm an IMF agency with other players and work together towards a common goal.  Combine your resources to level up the agency and receive better rewards for all members! High-end, immersive tablet gameplay!Mission Impossible: Rogue Nation TM & ©2015 Paramount Pictures.  All Rights Reserved.Mission Impossible: Rogue Nation, game design and software, © 2015 Glu Mobile Inc. All rights reserved.GLU and the “g-Man” logo are the trademarks or registered trademarks of Glu Mobile Inc. in the United States and/or in other jurisdictions.For questions or support: we are here to help, please visit our support site http://www.glu.com/support to contact us.Created with Unity 4.5.4. Portions of this program © 2005-2015 Unity Technologies.Powered by Upsight.Further third party license information may be found at http://www.glu.com/atttributions©2015 Skydance Productions, LLC. All rights reserved.PLEASE NOTE:- This game is free to play, but you can choose to pay real money for some extra items, which will charge your Google account. You can disable in-app purchasing by adjusting your device settings.-This game is not intended for children.- Please buy carefully.- Advertising appears in this game.- This game may permit users to interact with one another (e.g., chat rooms, player to player chat, messaging) depending on the availability of these features. Linking to social networking sites are not intended for persons in violation of the applicable rules of such social networking sites.- A network connection is required to play.- For information about how Glu collects and uses your data, please read our privacy policy at: www.Glu.com/privacy- If you have a problem with this game, please use the game’s “Help” feature.  FOLLOW US atTwitter @glumobilefacebook.com/glumobile  ",Action
net.ReferyGames.WC2WW," The game's plot tells the story of the American Civil War, when the ground was covered with blood. Enemies were ruthless. On all sides the wind blew the war.Take part in the defense and battles. Use a full set of weapons of those times.At your disposal:- Large block world- Fairy story and easy craft- Building and destruct everything that you want- Many kinds of enemies(cowboys, indians, africans, Herobrine)- Friendly medieval town in the centre of map- Danger deserts of wild west  ",Adventure
com.clear.loud," Super Loud Ringtones includes some of the most loud sounds your phone can make.  You will never have to worry about not being able to hear your phone ring with super loud ringtones.  Easy to use, free ringtones!Enjoy these free loud ringtones and sound effects!With this app you can:Set Ringtones for:All calls (default)To a personFor AlarmFor NotificationThe loudest ringtones for your android device.  Works on tablets too!  ",Personalization
com.optimesoftware.chess.free," Are you tired of playing chess games that look like they were designed for a Commodore 64 instead of today's smartphones?  We've got the antidote for you. Chess Free is the best looking chess game available for Android, and best of all - it's free! Chess Free supports both 1 player and 2 player gameplay, so you can play against friends or test your skills against a challenging computer opponent. Chess Free offers a host of exciting features, including: * Great graphics and exciting sound effects * Configurable player names and score tracking * Outstanding AI engine with configurable difficulty level * Board rotation for two player games * Undo function * Automatic save when you get a phone call or exit the application Chess Free is supported by unobtrusive banner advertising.  ",Board
